tanggal,co_dki1,Tavg,RH_avg,ss,ff_avg
1/20/2018,18,26.8,81,0.2,2
1/21/2018,17,28.1,76,2,3
1/22/2018,17,26.8,81,3,2
1/23/2018,17,27.7,79,0.2,2
1/24/2018,20,27.3,82,6.8,2
1/25/2018,19,27,74,3,3
1/26/2018,19,28.6,70,1,2
1/27/2018,19,27.8,75,2.7,2
1/28/2018,17,26.5,81,2,2
1/29/2018,17,26.8,80,1,2
1/30/2018,20,27.4,80,6,2
1/31/2018,20,27.7,79,3,2
2/1/2018,19,27.4,82,4.5,1
2/2/2018,26,28.6,76,3.5,1
2/3/2018,19,27.4,78,5,1
2/4/2018,16,27.3,86,2.5,2
2/5/2018,19,25.9,85,4.2,1
2/6/2018,35,26,87,0,2
2/7/2018,18,26,85,2.5,1
2/8/2018,18,26.9,84,0.3,2
2/9/2018,38,26.6,86,2.8,2
2/10/2018,26,27.3,77,4.6,2
2/11/2018,19,27.2,83,8,2
2/12/2018,21,27.2,81,3,3
2/13/2018,22,27.9,76,5.7,2
2/14/2018,25,27.2,82,2,1
2/15/2018,32,25.6,89,1.3,1
2/16/2018,23,27.2,83,0,2
2/17/2018,17,27.1,81,6.2,2
2/18/2018,19,27.3,79,1,2
2/19/2018,20,27.1,90,7.3,1
2/20/2018,22,27.6,83,2.3,1
2/21/2018,19,27.5,82,4.4,1
2/22/2018,28,27.3,84,5.7,1
2/23/2018,29,27.7,80,0.6,2
2/24/2018,19,27.6,79,3.3,2
2/25/2018,16,27.5,83,8,2
2/26/2018,22,27,84,8,2
2/27/2018,26,27.7,83,2.3,2
2/28/2018,26,27,84,4.7,1
3/1/2018,24,27.6,86,1.2,1
3/2/2018,23,27.8,81,3.4,1
3/3/2018,19,28.7,84,8,2
3/4/2018,29,28.3,80,2,1
3/5/2018,20,27.4,80,4,2
3/6/2018,20,27.8,83,1.4,1
3/7/2018,24,27.9,80,0,2
3/8/2018,26,27.7,82,3.8,1
3/9/2018,29,28.1,80,0,2
3/10/2018,27,27.9,82,4.7,1
3/11/2018,18,28,84,4.6,2
3/12/2018,20,27.9,81,6.2,2
3/13/2018,20,27.5,79,2,2
3/14/2018,20,28.4,76,0.5,1
3/15/2018,24,28.8,79,6.6,1
3/16/2018,20,28.6,77,8,1
3/17/2018,24,26.3,88,6,1
3/18/2018,46,27.3,81,0,1
3/19/2018,21,27.8,81,7.5,2
3/20/2018,23,27.3,83,6.5,1
3/21/2018,27,27.6,75,7,2
3/22/2018,18,27.3,80,1,1
3/23/2018,37,27.6,80,3.8,1
3/24/2018,23,27.4,79,6.5,2
3/25/2018,16,28.2,74,0.9,1
3/26/2018,24,28.1,80,1.8,2
3/27/2018,20,27.1,82,4.5,1
3/28/2018,31,27.9,75,3,2
3/29/2018,26,28,76,6.3,2
3/30/2018,31,28.8,73,9,2
3/31/2018,15,29.9,71,9,2
4/1/2018,17,29.6,74,8.5,1
4/2/2018,18,28.6,76,6.2,1
4/3/2018,27,28,81,5,1
4/4/2018,20,27.5,79,6,1
4/5/2018,25,28.9,77,8.7,2
4/6/2018,21,28.4,81,5.8,1
4/7/2018,21,29.6,74,6,2
4/8/2018,16,28,78,7.5,2
4/9/2018,20,27.5,82,5.7,1
4/10/2018,19,29.3,73,4.2,1
4/11/2018,20,29.7,73,6.5,1
4/12/2018,16,29.7,74,7.5,2
4/13/2018,16,30.1,76,6,2
4/14/2018,21,29.6,79,7,1
4/15/2018,23,29.6,76,6.3,1
4/16/2018,25,29.3,74,3.2,1
4/17/2018,20,28.6,79,5,1
4/18/2018,25,28.6,79,3,1
4/19/2018,29,29.1,77,3.5,1
4/20/2018,30,28.8,79,1.5,1
4/21/2018,34,29.1,77,4.6,1
4/22/2018,25,29.4,74,5,1
4/23/2018,27,26.6,91,6,0
4/24/2018,33,27.2,87,0,1
4/25/2018,35,26.1,91,0,1
4/26/2018,32,26.5,89,0,1
4/27/2018,22,28.7,77,1.6,1
4/28/2018,23,29.3,75,6.8,1
4/29/2018,26,28.8,81,6.5,1
4/30/2018,22,28.7,74,6.4,2
5/1/2018,19,29.1,72,6.5,2
5/2/2018,22,28.9,72,7,1
5/3/2018,22,28.5,76,6.5,1
5/4/2018,31,29.4,73,4,1
5/5/2018,23,29.8,72,4.6,1
5/6/2018,17,30.1,70,6,1
5/7/2018,17,30,67,5.7,2
5/8/2018,21,29.7,71,6.6,2
5/9/2018,20,30.2,69,6.5,1
5/10/2018,18,30.1,66,6.8,2
5/11/2018,16,29.6,69,6.3,2
5/12/2018,19,29.1,70,6.3,1
5/13/2018,22,30.2,70,6.5,1
5/14/2018,20,30.5,67,6,1
5/15/2018,24,29.3,74,6.4,1
5/16/2018,23,30.1,73,4.2,1
5/17/2018,19,29.2,76,2,0
5/18/2018,11,29.5,75,1,1
5/19/2018,11,28.6,78,6.3,2
5/20/2018,19,29.1,75,5.8,1
5/21/2018,17,29.3,75,3.6,1
5/22/2018,14,29.9,73,2.5,1
5/23/2018,12,28.2,81,5.6,1
5/24/2018,18,28.9,77,1,1
5/25/2018,18,28.1,82,4.7,1
5/26/2018,24,29.5,79,0,1
5/27/2018,18,29.3,73,6.4,1
5/28/2018,18,29.3,78,4,1
5/29/2018,18,29.2,76,3.9,2
5/30/2018,18,29.3,74,6.2,1
5/31/2018,17,29.4,76,5.7,1
6/1/2018,18,29.7,66,6,1
6/2/2018,13,29.5,73,6.4,1
6/3/2018,14,29.5,76,5.5,1
6/4/2018,11,29,78,5.2,1
6/5/2018,12,29.1,81,5.5,1
6/6/2018,12,29.4,80,3.8,1
6/7/2018,13,29.4,79,6,1
6/8/2018,14,29.2,78,0,1
6/9/2018,27,29.2,78,4,1
6/10/2018,18,29.4,76,6.6,1
6/11/2018,14,30.5,69,4.7,1
6/12/2018,11,28.8,79,5.4,1
6/13/2018,18,29,74,4.4,1
6/14/2018,12,29.4,70,6,1
6/15/2018,12,29.5,69,6.5,1
6/16/2018,20,29.3,74,4.2,1
6/17/2018,8,29.9,69,6.5,2
6/18/2018,18,29.9,68,6.6,1
6/19/2018,18,28.6,70,6.5,1
6/20/2018,18,29.9,70,6,2
6/21/2018,18,29.4,70,3,2
6/22/2018,9,29,76,3,2
6/23/2018,8,29.5,72,5,1
6/24/2018,10,28,77,6,1
6/25/2018,14,24.9,89,2.2,0
6/26/2018,28,26.2,80,0,1
6/27/2018,20,27.8,78,0.8,1
6/28/2018,17,27.2,82,3,1
6/29/2018,18,27.6,79,2.3,2
6/30/2018,17,28.4,75,6.2,1
7/1/2018,16,28,76,5.3,1
7/2/2018,16,28.1,75,5,1
7/3/2018,16,28.3,75,6.5,1
7/4/2018,15,28.3,71,5.5,1
7/5/2018,15,28.4,66,2.2,1
7/6/2018,15,28.1,54,6,1
7/7/2018,18,27.3,64,6.5,1
7/8/2018,18,28.4,69,6.5,1
7/9/2018,15,28.4,72,6.3,1
7/10/2018,15,28.8,72,4.8,1
7/11/2018,15,28.6,72,1.5,1
7/12/2018,15,28,67,4,0
7/13/2018,14,27.4,69,2.3,1
7/14/2018,14,28.1,76,5.4,1
7/15/2018,12,27.9,65,4.6,1
7/16/2018,12,27.7,65,6.5,1
7/17/2018,17,27.7,69,6,1
7/18/2018,17,27.9,72,3.6,1
7/19/2018,17,28.4,75,6.5,1
7/20/2018,16,28.7,74,5.2,2
7/21/2018,12,29.2,71,6,1
7/22/2018,18,29.1,72,5.2,2
7/23/2018,23,28.8,70,5.1,2
7/24/2018,23,28.9,75,3,1
7/25/2018,15,28.7,76,4.8,1
7/26/2018,16,28.4,78,5,1
7/27/2018,15,28.7,69,6,1
7/28/2018,20,27.8,66,6.9,1
7/29/2018,15,27.4,71,6,1
7/30/2018,19,27.2,75,6.5,2
7/31/2018,18,27.8,75,6.2,1
8/1/2018,18,27.9,76,6.4,0
8/2/2018,18,27.9,66,3,1
8/3/2018,16,27.6,66,6.3,2
8/4/2018,13,26.9,66,5.8,1
8/5/2018,11,27.2,64,5.4,2
8/6/2018,12,27.1,62,6.3,1
8/7/2018,16,28.4,65,6,1
8/8/2018,19,27.5,72,0.5,1
8/9/2018,19,28.3,71,1,2
8/10/2018,18,28.2,72,2.2,2
8/11/2018,17,27.3,77,5.4,1
8/12/2018,14,28.1,76,5.4,1
8/13/2018,13,29.7,69,6,1
8/14/2018,13,28.1,76,6.5,1
8/15/2018,13,28.6,73,5.3,1
8/16/2018,13,28,72,6.5,1
8/17/2018,15,27.7,71,4,1
8/18/2018,11,27.1,65,6.8,1
8/19/2018,10,27.8,67,6.5,1
8/20/2018,13,29,66,6.5,1
8/21/2018,16,28.2,73,6.7,1
8/22/2018,16,28.4,72,6.5,1
8/23/2018,17,28.3,73,6.6,1
8/24/2018,20,28.6,73,4.3,1
8/25/2018,19,28.9,67,5.2,1
8/26/2018,13,28.8,69,6,2
8/27/2018,17,29.1,68,6,1
8/28/2018,17,28.6,75,7,2
8/29/2018,16,28.5,71,6.6,1
8/30/2018,17,29.1,70,2.4,1
8/31/2018,18,28.8,70,6.5,1
9/1/2018,20,27.6,77,6.2,2
9/2/2018,15,27.5,80,4.2,1
9/3/2018,23,27.8,79,7.6,2
9/4/2018,22,27.9,65,6,1
9/5/2018,15,28.5,65,6.7,1
9/6/2018,21,29.8,67,6,1
9/7/2018,18,29.3,68,5.6,1
9/8/2018,19,28.8,72,6.6,1
9/9/2018,21,29.6,62,6.4,1
9/10/2018,16,30,60,8.8,1
9/11/2018,18,29.2,68,8.5,2
9/12/2018,18,29,68,8.6,1
9/13/2018,18,28.1,69,8.5,1
9/14/2018,18,28.1,66,5,1
9/15/2018,17,28.9,65,7.5,1
9/16/2018,13,29,63,6.5,2
9/17/2018,14,29.4,59,7.4,2
9/18/2018,18,30,60,8.5,2
9/19/2018,16,29,69,6.6,1
9/20/2018,19,29.3,67,0,1
9/21/2018,22,27.2,79,2.8,1
9/22/2018,22,28.4,73,0,1
9/23/2018,21,29,70,9.2,2
9/24/2018,19,28.5,71,5,1
9/25/2018,17,28.6,69,9,2
9/26/2018,18,29.1,65,9.3,2
